REGISTER NAME,DI Page Address,DI Offset Address,M0 Address,JOINED,##,D7,D6,D5,D4,D3,D2,D1,D0,
EEPROM_ARRAY M2_LSB,0x5,0x2A,0x4000002A,0x25/0x2A,134,,,,,,,,,
EEPROM_ARRAY M2_MID,0x5,0x2B,0x4000002B,0x25/0x2B,135,,,,,,,,,
EEPROM_ARRAY M2_MSB,0x5,0x2C,0x4000002C,0x25/0x2C,136,,,,,,,,,
EEPROM_ARRAY M3_LSB,0x5,0x2D,0x4000002D,0x25/0x2D,137,,,,,,,,,
EEPROM_ARRAY M3_MID,0x5,0x2E,0x4000002E,0x25/0x2E,138,,,,,,,,,
EEPROM_ARRAY M3_MSB,0x5,0x2F,0x4000002F,0x25/0x2F,139,,,,,,,,,
EEPROM_ARRAY DIG_IF_CTRL,0x5,0x30,0x40000030,0x25/0x30,140,,,,,,,,,
EEPROM_ARRAY DAC_CTRL_STATUS,0x5,0x31,0x40000031,0x25/0x31,141,,,,,,,,,
EEPROM_ARRAY DAC_CONFIG,0x5,0x32,0x40000032,0x25/0x32,142,,,,,,,,,
EEPROM_ARRAY OP_STAGE_CTRL,0x5,0x33,0x40000033,0x25/0x33,143,,,,,,,,,
EEPROM_ARRAY BRDG_CTRL,0x5,0x34,0x40000034,0x25/0x34,144,,,,,,,,,
EEPROM_ARRAY P_GAIN_SELECT,0x5,0x35,0x40000035,0x25/0x35,145,,,,,,,,,
EEPROM_ARRAY T_GAIN_SELECT,0x5,0x36,0x40000036,0x25/0x36,146,,,,,,,,,
EEPROM_ARRAY TEMP_CTRL,0x5,0x37,0x40000037,0x25/0x37,147,,,,,,,,,
EEPROM_ARRAY ADD 0x38,0x5,0x38,0x40000038,0x25/0x38,148,,,,,,,,,
EEPROM_ARRAY ADD 0x39,0x5,0x39,0x40000039,0x25/0x39,149,,,,,,,,,
EEPROM_ARRAY TEMP_SE,0x5,0x3A,0x4000003A,0x25/0x3A,150,,,,,,,,,
EEPROM_ARRAY ADD 0x3B,0x5,0x3B,0x4000003B,0x25/0x3B,151,,,,,,,,,
EEPROM_ARRAY NORMAL_LOW_LSB,0x5,0x3C,0x4000003C,0x25/0x3C,152,,,,,,,,,
EEPROM_ARRAY NORMAL_LOW_MSB,0x5,0x3D,0x4000003D,0x25/0x3D,153,,,,,,,,,
EEPROM_ARRAY NORMAL_HIGH_LSB,0x5,0x3E,0x4000003E,0x25/0x3E,154,,,,,,,,,
EEPROM_ARRAY NORMAL_HIGH_MSB,0x5,0x3F,0x4000003F,0x25/0x3F,155,,,,,,,,,
EEPROM_ARRAY LOW_CLAMP_LSB,0x5,0x40,0x40000040,0x25/0x40,156,,,,,,,,,
EEPROM_ARRAY LOW_CLAMP_MSB,0x5,0x41,0x40000041,0x25/0x41,157,,,,,,,,,
EEPROM_ARRAY HIGH_CLAMP_LSB,0x5,0x42,0x40000042,0x25/0x42,158,,,,,,,,,
EEPROM_ARRAY HIGH_CLAMP_MSB,0x5,0x43,0x40000043,0x25/0x43,159,,,,,,,,,
EEPROM_ARRAY PADC_GAIN_LSB,0x5,0x44,0x40000044,0x25/0x44,160,,,,,,,,,
EEPROM_ARRAY PADC_GAIN_MID,0x5,0x45,0x40000045,0x25/0x45,161,,,,,,,,,
EEPROM_ARRAY PADC_GAIN_MSB,0x5,0x46,0x40000046,0x25/0x46,162,,,,,,,,,
EEPROM_ARRAY PADC_OFFSET_LSB,0x5,0x47,0x40000047,0x25/0x47,163,,,,,,,,,
EEPROM_ARRAY PADC_OFFSET_MID,0x5,0x48,0x40000048,0x25/0x48,164,,,,,,,,,
EEPROM_ARRAY PADC_OFFSET_MSB,0x5,0x49,0x40000049,0x25/0x49,165,,,,,,,,,
EEPROM_ARRAY A0_LSB,0x5,0x4A,0x4000004A,0x25/0x4A,166,,,,,,,,,
EEPROM_ARRAY A0_MSB,0x5,0x4B,0x4000004B,0x25/0x4B,167,,,,,,,,,
EEPROM_ARRAY A1_LSB,0x5,0x4C,0x4000004C,0x25/0x4C,168,,,,,,,,,
EEPROM_ARRAY A1_MSB,0x5,0x4D,0x4000004D,0x25/0x4D,169,,,,,,,,,
EEPROM_ARRAY A2_LSB,0x5,0x4E,0x4000004E,0x25/0x4E,170,,,,,,,,,
EEPROM_ARRAY A2_MSB,0x5,0x4F,0x4000004F,0x25/0x4F,171,,,,,,,,,
EEPROM_ARRAY B0_LSB,0x5,0x50,0x40000050,0x25/0x50,172,,,,,,,,,
EEPROM_ARRAY B0_MSB,0x5,0x51,0x40000051,0x25/0x51,173,,,,,,,,,
EEPROM_ARRAY B1_LSB,0x5,0x52,0x40000052,0x25/0x52,174,,,,,,,,,
EEPROM_ARRAY B1_MSB,0x5,0x53,0x40000053,0x25/0x53,175,,,,,,,,,
EEPROM_ARRAY B2_LSB,0x5,0x54,0x40000054,0x25/0x54,176,,,,,,,,,
EEPROM_ARRAY B2_MSB,0x5,0x55,0x40000055,0x25/0x55,177,,,,,,,,,
EEPROM_ARRAY DIAG_ENABLE,0x5,0x56,0x40000056,0x25/0x56,178,,,,,,,,,
EEPROM_ARRAY EEPROM_LOCK,0x5,0x57,0x40000057,0x25/0x57,179,,,,,,,,,
EEPROM_ARRAY AFEDIAG_CFG,0x5,0x58,0x40000058,0x25/0x58,180,,,,,,,,,
EEPROM_ARRAY AFEDIAG_MASK,0x5,0x59,0x40000059,0x25/0x59,181,,,,,,,,,
EEPROM_ARRAY ADD 0x5A,0x5,0x5A,0x4000005A,0x25/0x5A,182,,,,,,,,,
EEPROM_ARRAY ADD 0x5B,0x5,0x5B,0x4000005B,0x25/0x5B,183,,,,,,,,,
EEPROM_ARRAY FAULT_LSB,0x5,0x5C,0x4000005C,0x25/0x5C,184,,,,,,,,,
EEPROM_ARRAY FAULT_MSB,0x5,0x5D,0x4000005D,0x25/0x5D,185,,,,,,,,,
EEPROM_ARRAY TADC_GAIN_LSB,0x5,0x5E,0x4000005E,0x25/0x5E,186,,,,,,,,,
EEPROM_ARRAY TADC_GAIN_MID,0x5,0x5F,0x4000005F,0x25/0x5F,187,,,,,,,,,
EEPROM_ARRAY TADC_GAIN_MSB,0x5,0x60,0x40000060,0x25/0x60,188,,,,,,,,,
EEPROM_ARRAY TADC_OFFSET_LSB,0x5,0x61,0x40000061,0x25/0x61,189,,,,,,,,,
EEPROM_ARRAY TADC_OFFSET_MID,0x5,0x62,0x40000062,0x25/0x62,190,,,,,,,,,
EEPROM_ARRAY TADC_OFFSET_MSB,0x5,0x63,0x40000063,0x25/0x63,191,,,,,,,,,
EEPROM_ARRAY SERIAL_NUMBER_BYTE0,0x5,0x64,0x40000064,0x25/0x64,192,,,,,,,,,
EEPROM_ARRAY SERIAL_NUMBER_BYTE1,0x5,0x65,0x40000065,0x25/0x65,193,,,,,,,,,
EEPROM_ARRAY SERIAL_NUMBER_BYTE2,0x5,0x66,0x40000066,0x25/0x66,194,,,,,,,,,
EEPROM_ARRAY SERIAL_NUMBER_BYTE3,0x5,0x67,0x40000067,0x25/0x67,195,,,,,,,,,
EEPROM_ARRAY ADC_24BIT_ENABLE,0x5,0x68,0x40000068,0x25/0x68,196,,,,,,,,,
EEPROM_ARRAY OFFSET_ENABLE,0x5,0x69,0x40000069,0x25/0x69,197,,,,,,,,,
EEPROM_ARRAY ADD 0x6A,0x5,0x6A,0x4000006A,0x25/0x6A,198,,,,,,,,,
EEPROM_ARRAY ADD 0x6B,0x5,0x6B,0x4000006B,0x25/0x6B,199,,,,,,,,,
EEPROM_ARRAY ADD 0x6C,0x5,0x6C,0x4000006C,0x25/0x6C,200,,,,,,,,,
EEPROM_ARRAY ADD 0x6D,0x5,0x6D,0x4000006D,0x25/0x6D,201,,,,,,,,,
EEPROM_ARRAY ADD 0x6E,0x5,0x6E,0x4000006E,0x25/0x6E,202,,,,,,,,,
EEPROM_ARRAY ADD 0x6F,0x5,0x6F,0x4000006F,0x25/0x6F,203,,,,,,,,,
EEPROM_ARRAY PN_LSB,0x5,0x70,0x40000070,0x25/0x70,204,,,,,,,,,
EEPROM_ARRAY PN_MID,0x5,0x71,0x40000071,0x25/0x71,205,,,,,,,,,
EEPROM_ARRAY PN_MSB,0x5,0x72,0x40000072,0x25/0x72,206,,,,,,,,,
EEPROM_ARRAY SN_LSB,0x5,0x73,0x40000073,0x25/0x73,207,,,,,,,,,
EEPROM_ARRAY SN_MID,0x5,0x74,0x40000074,0x25/0x74,208,,,,,,,,,
EEPROM_ARRAY SN_MSB,0x5,0x75,0x40000075,0x25/0x75,209,,,,,,,,,
EEPROM_ARRAY PRANGE_LSB,0x5,0x76,0x40000076,0x25/0x76,210,,,,,,,,,
EEPROM_ARRAY PRANGE_MSB,0x5,0x77,0x40000077,0x25/0x77,211,,,,,,,,,
EEPROM_ARRAY ADD 0x78,0x5,0x78,0x40000078,0x25/0x78,212,,,,,,,,,
EEPROM_ARRAY ADD 0x79,0x5,0x79,0x40000079,0x25/0x79,213,,,,,,,,,
EEPROM_ARRAY ADD 0x7A,0x5,0x7A,0x4000007A,0x25/0x7A,214,,,,,,,,,
EEPROM_ARRAY ADD 0x7B,0x5,0x7B,0x4000007B,0x25/0x7B,215,,,,,,,,,
EEPROM_ARRAY ADD 0x7C,0x5,0x7C,0x4000007C,0x25/0x7C,216,,,,,,,,,
EEPROM_ARRAY ADD 0x7D,0x5,0x7D,0x4000007D,0x25/0x7D,217,,,,,,,,,
EEPROM_ARRAY ADD 0x7E,0x5,0x7E,0x4000007E,0x25/0x7E,218,,,,,,,,,
EEPROM_ARRAY EEPROM_CRC_VALUE,0x5,0x7F,0x4000007F,0x25/0x7F,219,,,,,,,,,
EEPROM_CACHE_LO1,0x5,0x80,0x40000080,0x25/0x80,220,,,,,,,,,
EEPROM_CACHE_LO2,0x5,0x81,0x40000081,0x25/0x81,221,,,,,,,,,
EEPROM_CACHE_LO3,0x5,0x82,0x40000082,0x25/0x82,222,,,,,,,,,
EEPROM_CACHE_LO4,0x5,0x83,0x40000083,0x25/0x83,223,,,,,,,,,
EEPROM_CACHE_HI1,0x5,0x84,0x40000084,0x25/0x84,224,,,,,,,,,
EEPROM_CACHE_HI2,0x5,0x85,0x40000085,0x25/0x85,225,,,,,,,,,
EEPROM_CACHE_HI3,0x5,0x86,0x40000086,0x25/0x86,226,,,,,,,,,
EEPROM_CACHE_HI4,0x5,0x87,0x40000087,0x25/0x87,227,,,,,,,,,
EEPROM_PAGE_ADDRESS,0x5,0x88,0x40000088,0x25/0x88,86,,,,,,ADDR[2],ADDR[1],ADDR[0],
EEPROM_CTRL,0x5,0x89,0x40000089,0x25/0x89,87,,,,,FIXED_ERASE_PROG_TIME,ERASE_AND_PROGRAM,ERASE,PROGRAM,
EEPROM_CRC,0x5,0x8A,0x4000007A,0x25/0x8A,88,,,,,,,,CALCULATE_CRC,
EEPROM_STATUS,0x5,0x8B,0x4000008B,0x25/0x8B,89,,,,,,PROGRAM_IN_PROGRESS,ERASE_IN_PROGRESS,READ_IN_PROGRESS,
EEPROM_CRC_STATUS,0x5,0x8C,0x4000008C,0x25/0x8C,90,,,,,,,CRC_GOOD,CRC_CHECK_IN_PROIG,
EEPROM_CRC_VALUE,0x5,0x8D,0x4000008D,0x25/0x8D,91,,,,,,,,,
UART_CONFIG,0x7,0x00,0x40000200,0x27/0x00,68,,,,,,TWO_STOP_BITS,PARITY,PARITY_EN,
UART_EN,0x7,0x01,0x40000201,0x27/0x01,69,,,,,,,,UART_EN,
BAUD_RATE_LO,0x7,0x02,0x40000202,0x27/0x02,70,,,,,,,,,
BAUD_RATE_HI,0x7,0x03,0x40000203,0x27/0x03,71,,,,,,,,,
UART_LINE_STATUS,0x7,0x04,0x40000204,0x27/0x04,72,,,,TX_COMPLETE,RX_READY,FRAMING_ERROR,PARITY_ERROR,OVERRUN_ERROR,
UART_INTERRUPT_STATUS,0x7,0x08,0x40000208,0x27/0x08,73,,,,,,,UART_TXCOMPLETE_I,UART_RXCOMPLETE_I,
UART_INTERRUPT_ENABLE,0x7,0x0A,0x4000020A,0x27/0x0A,74,,,,,,,UART_TXCOMPLET_INT_EN,UART_RXRDY_INT_EN,
UART_RX_BUF,0x7,0x0C,0x4000020C,0x27/0x0C,75,,,,,,,,,
UART_RX_BUF,0x7,0x0E,0x4000020E,0x27/0x0E,76,,,,,,,,,
PWM_ON_TIME1,0x7,0x10,0x40000210,0x27/0x10,77,,,,,,,,,
PWM_ON_TIME2,0x7,0x11,0x40000211,0x27/0x11,78,,,,,,,,,
PWM_OFF_TIME1,0x7,0x12,0x40000212,0x27/0x12,79,,,,,,,,,
PWM_OFF_TIME2,0x7,0x13,0x40000213,0x27/0x13,80,,,,,,,,,
PWM_EN,0x7,0x14,0x40000214,0x27/0x14,81,,,,,,,,PWM_EN,
GPIO_INPUT,0x7,0x18,0x40000218,0x27/0x18,82,,,,,,,GPIO2_I,GPIO1_I,
GPIO_OUTPUT,0x7,0x19,0x40000219,0x27/0x19,83,,,,,,,GPIO2_O,GPIO1_O,
GPIO_DIR,0x7,0x1A,0x4000021A,0x27/0x1A,84,,,,,GPIO2_CFG,GPIO1_CFG,GPIO2_DIR,GPIO1_DIR,
REMAP,0x7,0x20,0x40000220,0x27/0x20,85,,,,,,,,REMAP,
